id;licencearea;gridsupplypoint;fromsubstation_sitefunctionallocation;fromsubstation;fromnode;tonode;tosubstation;linename;operating_voltage;positive_sequence_impedance_r_percent;positive_sequence_impedance_x_percent;susceptance_b_percent;rating_amps_summer;rating_amps_winter;circuit_length
879;London Power Networks (LPN);Wimbledon 3&4 132kV;LPN-S000000004097;Wimbledon Grid C 33kV;WIMC31;WIMC31;Wimbledon Grid C 33kV;lne_WIMC_GRIDT3B;33;0.0;0.01;0.0;;;1.000
886;London Power Networks (LPN);Wimbledon 3&4 132kV;LPN-S000000004097;Wimbledon Grid C 33kV;WIMC31;WNOR32;West Norwood 33kV;lne_WIMC_WNOR_2;33;5.46;6.63;1.16;970;1020;8.370
902;South Eastern Power Networks (SPN);Beddington;;Beddington 11kV;BEDD5D;BRIL51;Bridges Lane 11kV;X780;11;1.49;2.12;0.0;492;566;0.695
907;South Eastern Power Networks (SPN);Beddington;SPN-S000000009103;Beddington 132kV;BEDD12;SUTT11;Sutton Grid 132kV;C7H7;132;0.25;0.35;11.76;551;635;6.100
911;South Eastern Power Networks (SPN);Beddington;SPN-S000000009103;Beddington 132kV;BEDD12;PRLG11;Prologis 132kV;C7HB;132;0.12;0.12;1.24;471;538;1.600
923;South Eastern Power Networks (SPN);Beddington;SPN-S000000008358;Bensham Grove 33kV;BSMG31;CRYB31;Croydon B 33kV;G7MC;33;8.74;8.35;0.98;391;435;7.736
945;South Eastern Power Networks (SPN);Beddington;SPN-S000000009913;Croydon Grid 132kV;CROY11;CREN11;SPN 0001;X100;132;0.01;0.01;0.51;671;745;0.220
949;South Eastern Power Networks (SPN);Beddington;SPN-S000000008395;East Croydon 33kV;ECRY32;BEDD31;Beddington 33kV;G7JN;33;5.14;3.31;0.78;346;398;4.297
952;South Eastern Power Networks (SPN);Beddington;SPN-S000000008442;Nork 33kV;NORK31;SUTT31;Sutton Grid 33kV;G7JQ;33;5.17;3.12;0.71;346;398;4.033
975;South Eastern Power Networks (SPN);Beddington;;Shirley 33kV;SHRL32;ASHB31;Ashburton Grid 33kV;G7O5;33;2.72;2.93;0.0;432;480;3.287
995;South Eastern Power Networks (SPN);Bolney;SPN-S000000008623;Ashurst PV Zone 33kV;APVZ3A;BOLN31;Bolney Grid 33kV;X415;33;8.69;13.37;0.3;345;431;6.109
1001;South Eastern Power Networks (SPN);Bolney;SPN-S000000009905;Bolney 132kV;BOLN11;KENS1C;Kent Street;C750B;132;0.18;0.34;12.29;537;615;5.439
1005;South Eastern Power Networks (SPN);Bolney;;Bolney 132kV;BOLN1B;SMAL11;Smallfield 132kV;C75B;132;1.37;4.98;2.08;1148;1302;29.912
1049;South Eastern Power Networks (SPN);Bolney;SPN-S000000009919;Fishersgate 132kV;FISH11;BRTL12;Brighton Local 132kV;C7J3;132;0.32;0.41;12.39;469;544;6.313
1069;South Eastern Power Networks (SPN);Bolney;SPN-S000000008563;Goddards Green Grid 33kV;GODG31;HAYW33;Haywards Heath 33kV;G7PZ;33;6.12;7.48;0.0;477;530;6.686
1084;South Eastern Power Networks (SPN);Bolney;SPN-S000000008419;Horley 33kV;HORL33;HSST31;Horley Switching Station;X191;33;0.01;0.02;0.0;456;525;0.015
1113;South Eastern Power Networks (SPN);Bolney;;North Shoreham 11kV;NSHO51;NSHO5A;North Shoreham 11kV;X260;11;0.06;0.08;0.0;649;757;0.020
1123;South Eastern Power Networks (SPN);Bolney;SPN-R000000910506-000-042Z;Priors Byne B Zone 33kV;PBBZ31;APVZ3A;Ashurst PV Zone 33kV;X421;33;5.02;9.05;0.0;345;431;2.986
1157;South Eastern Power Networks (SPN);Bolney;SPN-S000000009960;Southern Cross 132kV;SERX11;SHAM11;SPN 0004;C7J5;132;0.02;0.17;2.59;1200;1337;1.500
1164;South Eastern Power Networks (SPN);Bolney;SPN-S000000008490;Southwick 33kV;SWIC31;FISH31;Fishersgate Grid 33kV;G7K3;33;0.14;0.12;0.01;391;435;0.115
1220;South Eastern Power Networks (SPN);Canterbury;SPN-S000000009961;Canterbury North 132kV;CGIS11;CNCS1C;Canterbury South 132kV;C76M;132;0.0;0.02;0.37;917;1050;0.220
1232;South Eastern Power Networks (SPN);Canterbury;;Canterbury South 132kV;CNCS1A;CANT12;Canterbury South 132kV;X729;132;0.05;0.13;0.03;610;690;0.579
1234;South Eastern Power Networks (SPN);Canterbury;SPN-S000000009910;Canterbury South 132kV;CNCS1D;CANT11;Canterbury South 132kV;X731;132;0.0;0.01;0.0;610;690;0.050
1330;South Eastern Power Networks (SPN);Chessington;SPN-S000000008400;Ewell 33kV;EWEL32;CHSI31;Chessington Grid 33kV;G7N8;33;7.36;4.86;1.16;346;398;6.332
1342;South Eastern Power Networks (SPN);Chessington;SPN-S000000008437;Molesey 33kV;MOLS32;KITO31;Kingston Grid 33kV;G7P8;33;7.39;6.21;0.71;292;325;6.333
1350;South Eastern Power Networks (SPN);Hurst;SPN-S000000009108;Bromley Grid 33kV;BROM32;ORPI32;Orpington 33kV;G6TS;33;2.76;4.27;0.63;428;475;4.301
1373;South Eastern Power Networks (SPN);Kemsley;SPN-S000000009985;Grovehurst Grid 132kV;KMGH1C;KMGH1B;Kemsley 132kV;C76K;132;0.01;0.03;0.27;674;772;0.351
1378;South Eastern Power Networks (SPN);Kemsley;;Grovehurst Grid 33kV;GRHG32;GROL31;Grovehurst Local 33kV;X389;33;0.01;0.06;0.0;864;960;0.070
